Column1;ISIN;Company_Name;Country;Component;FF Mcap (BEUR);Factset_sector;Sector;TR_16;TR_17;TR_18;TR_19;TR_20;ctp_16;ctp_17;ctp_18;ctp_19;ctp_20;ptx_inc_16;ptx_inc_17;ptx_inc_18;ptx_inc_19;ptx_inc_20;SUS_ENV;SUS_SOC;SUS_GOV;SUS_CARBON;FTSE_ESG;FTSE_ESG_DATE
631;KR7105560007;KB Financial Group Inc;KR;Large;177;Finance;#N/B;18.67585932;19.20931736;28.81731439;27.02329921;26.44788593;#N/B;#N/B;#N/B;#N/B;#N/B;2347817;4138424;4301532;4517535;4761632;#N/B;#N/B;#N/B;#N/B;3.2;06/21/2021
632;US8923561067;TRACTOR SUPPLY;US;Large;176;Retail Trade;Consumer Discretionary;36.49004025;37.1621491;22.09998756;22.25990044;22.64005363;232.258;219.081;146.918;144.377;235.319;688.27;672.523;683.385;723.377;968.147;13.73139375;6.580838;4.260431;266012;3.7;06/21/2021
633;US3687361044;GENERAC HOLDINGS;US;Large;175;Producer Manufacturing;Industrials;36.81369979;21.67020948;22.45624863;21.05679788;22.18175624;8.889;23.836;41.044;61.767;61.861;156.382;203.699;311.076;319.607;446.191;#N/B;#N/B;#N/B;#N/B;#N/B;06/21/2021
634;TW0002303005;United Microelectronics Corp;TW;Large;175;Electronic Technology;#N/B;19.52772342;15.51769204;-16.08123839;-8.568392173;3.50813358;2322.102;1766.856;995.314;618.608;18.629;5036.752;7521.46;2852.1;4588.142;21258.227;#N/B;#N/B;#N/B;#N/B;4.6;06/21/2021
635;LU1598757687;ARCELORMITTAL;LU;Large;175;Non-Energy Minerals;#N/B;46.84085511;9.475762229;-8.061908062;#N/B;195.0819672;267.5833828;448.6075833;237.3384689;22.33641332;-843.0013701;1902.91561;4041.901131;3669.422257;-2036.187439;749.139615;#N/B;#N/B;#N/B;#N/B;3.3;06/21/2021
636;US30212P3038;Expedia Group Inc;US;Large;175;Consumer Services;Consumer Discretionary;5.536876356;10.89465501;17.93814433;26.19354839;#N/B;124.291;174.18;282;304;108;276.6;416.764;485;775;-3151;25.427675;14.422750;8.901675;228738.44;2.5;06/21/2021
637;ES0105066007;CELLNEX TELECOM;ES;Large;174;Communications;#N/B;1.545636568;-21.64742109;#N/B;#N/B;#N/B;11.477;13.349;20.219;25.262;38.577;40.954;19.485;-36.294;-54.474;-199.512;15.46685313;6.886187;5.316516;195760;4.4;06/21/2021
638;US42824C1099;Hewlett Packard Enterprise;US;Large;173;Electronic Technology;Information Technology;16.13989637;-60.29411765;-650.7462687;32.45331616;#N/B;656;836;538;518;297;3860;272;268;1553;-442;12.14001688;4.918195;6.456572;370511;4;06/21/2021
639;US8740541094;TAKE TWO INTACT.SFTW.;US;Large;173;Consumer Durables;Communication Services;#N/B;12.5537582;-27.01408966;-43.41001353;11.77473993;-26.223;6.648;8.79;19.28;27.998;-38.35;76.965;136.625;232.785;458.439;#N/B;#N/B;#N/B;#N/B;2.4;06/21/2021
640;IE00BQPVQZ61;HORIZON THERAPEUTICS PUBLIC;US;Large;173;Health Technology;#N/B;#N/B;#N/B;#N/B;#N/B;2.950117641;22.339;2.548;53.058;9.925;15.115;-228.085;-504.334;-83.132;-20.224;401.645;#N/B;#N/B;#N/B;#N/B;2.6;06/21/2021
