"","company","year","sdg01","sdg02","sdg03","sdg04","sdg05","sdg06","sdg07","sdg08","sdg09","sdg10","sdg11","sdg12","sdg13","sdg14","sdg15","sdg16","sgd17","sdg","doc_id","country","ctrygrp"
"14","CH0012280076",2020,0,0,2,0,0,0,1,1,0,1,0,0,4,0,4,4,6,0,"CH0012280076_2020_IR_0.pdf","CH","EUR"
"15","CH0012549785",2016,0,0,0,0,0,0,4,1,0,4,0,0,3,0,0,1,5,0,"CH0012549785_2016_SR_0.pdf","CH","EUR"
"16","CH0012549785",2020,1,0,5,5,3,0,17,6,4,7,0,0,13,0,5,16,34,67,"CH0012549785_2020_IR_0.pdf","CH","EUR"
"17","CH0030170408",2016,0,0,2,1,0,34,22,6,1,5,1,0,8,0,7,2,22,11,"CH0030170408_2016_IR_0.pdf","CH","EUR"
"18","CH0030170408",2020,0,0,1,1,0,35,23,11,0,5,3,0,22,0,4,2,17,11,"CH0030170408_2020_IR_0.pdf","CH","EUR"
"19","CH0102484968",2016,3,0,4,1,0,2,4,0,0,4,0,1,4,0,2,5,8,3,"CH0102484968_2016_SR_0.pdf","CH","EUR"
"20","CH0102484968",2020,1,2,9,0,0,2,11,5,0,3,1,0,16,0,4,7,9,23,"CH0102484968_2020_SR_0.pdf","CH","EUR"
"21","CH0210483332",2016,0,0,4,1,0,3,4,1,0,3,0,0,28,0,10,4,6,0,"CH0210483332_2016_SR_0.pdf","CH","EUR"
"22","CH0210483332",2020,5,1,7,6,8,2,24,11,0,8,0,2,23,0,27,10,21,51,"CH0210483332_2020_SR_0.pdf","CH","EUR"
"23","CH0432492467",2020,1,1,3,0,0,1,14,0,0,5,0,0,4,0,0,4,0,0,"CH0432492467_2020_SR_0.pdf","CH","EUR"
"24","DE0005190003",2016,1,0,0,0,0,1,72,0,2,8,2,4,13,0,1,1,10,15,"DE0005190003_2016_SR_0.pdf","DE","EUR"
"25","DE0005190003",2020,0,0,1,1,0,2,28,4,0,2,0,2,28,0,1,4,8,5,"DE0005190003_2020_IR_0.pdf","DE","EUR"
"26","DE0005439004",2016,0,0,0,1,1,1,2,0,0,10,0,0,3,0,10,0,6,2,"DE0005439004_2016_SR_0.pdf","DE","EUR"
"27","DE0005439004",2020,0,0,0,1,0,2,8,0,0,3,0,0,2,0,2,5,11,8,"DE0005439004_2020_IR_0.pdf","DE","EUR"
"28","DE0005552004",2016,0,0,23,1,0,1,15,3,0,4,9,0,5,0,9,1,5,4,"DE0005552004_2016_SR_0.pdf","DE","EUR"
"29","DE0005552004",2020,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,"DE0005552004_2020_SR_0.pdf","DE","EUR"
"30","DE0005557508",2016,6,2,6,1,1,2,72,9,3,18,0,2,16,0,10,8,22,39,"DE0005557508_2016_GR_0.pdf","DE","EUR"
"31","DE0005557508",2016,6,2,6,1,1,2,72,9,3,18,0,2,16,0,10,8,22,39,"DE0005557508_2016_SR_0.pdf","DE","EUR"
